Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.61,0.9099999999999999,0.5736161418392923
100% Corpus,2,0.61,symmetric,0.5736161418392923
100% Corpus,2,0.9099999999999999,0.01,0.5350623883668082
100% Corpus,2,0.9099999999999999,0.31,0.5646637383158096
100% Corpus,2,0.9099999999999999,0.61,0.5571967759256171
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.5736161418392923
100% Corpus,2,0.9099999999999999,symmetric,0.5571967759256171
100% Corpus,2,symmetric,0.01,0.5369465659864665
100% Corpus,2,symmetric,0.31,0.5736161418392923
100% Corpus,2,symmetric,0.61,0.5667132901335661
100% Corpus,2,symmetric,0.9099999999999999,0.5667132901335661
100% Corpus,2,symmetric,symmetric,0.5667132901335661
100% Corpus,2,asymmetric,0.01,0.5814961937924654
100% Corpus,2,asymmetric,0.31,0.5861684892321847
100% Corpus,2,asymmetric,0.61,0.5896861205807783
100% Corpus,2,asymmetric,0.9099999999999999,0.5896861205807783
100% Corpus,2,asymmetric,symmetric,0.5861684892321847
100% Corpus,3,0.01,0.01,0.5499187497020069
100% Corpus,3,0.01,0.31,0.5060734365501217
100% Corpus,3,0.01,0.61,0.523297411767158
100% Corpus,3,0.01,0.9099999999999999,0.5181967945204876
100% Corpus,3,0.01,symmetric,0.5183005675747095
100% Corpus,3,0.31,0.01,0.576003258625504
100% Corpus,3,0.31,0.31,0.5581137874624372
100% Corpus,3,0.31,0.61,0.5408625167257982
100% Corpus,3,0.31,0.9099999999999999,0.5406392409344795
100% Corpus,3,0.31,symmetric,0.5526645159071584
100% Corpus,3,0.61,0.01,0.511097209732243
100% Corpus,3,0.61,0.31,0.5986218484690361
100% Corpus,3,0.61,0.61,0.5835095965325635
100% Corpus,3,0.61,0.9099999999999999,0.5779654268186832
100% Corpus,3,0.61,symmetric,0.5986218484690361
100% Corpus,3,0.9099999999999999,0.01,0.5367422322532929
100% Corpus,3,0.9099999999999999,0.31,0.5929493814741048
100% Corpus,3,0.9099999999999999,0.61,0.5955205620048482
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.5936574353370413
100% Corpus,3,0.9099999999999999,symmetric,0.5929493814741048
100% Corpus,3,symmetric,0.01,0.5695490280772099
100% Corpus,3,symmetric,0.31,0.5581137874624372
100% Corpus,3,symmetric,0.61,0.5408625167257982
100% Corpus,3,symmetric,0.9099999999999999,0.5406392409344796
100% Corpus,3,symmetric,symmetric,0.5581137874624372
100% Corpus,3,asymmetric,0.01,0.6446340962846587
100% Corpus,3,asymmetric,0.31,0.6467982779136916
100% Corpus,3,asymmetric,0.61,0.6426179350645745
100% Corpus,3,asymmetric,0.9099999999999999,0.639664922233987
100% Corpus,3,asymmetric,symmetric,0.6459238803639067
100% Corpus,4,0.01,0.01,0.5530772283022455
100% Corpus,4,0.01,0.31,0.5473590264781248
100% Corpus,4,0.01,0.61,0.5060871354290698
100% Corpus,4,0.01,0.9099999999999999,0.46113632603558996
100% Corpus,4,0.01,symmetric,0.5553152957224843
100% Corpus,4,0.31,0.01,0.5029705370585443
100% Corpus,4,0.31,0.31,0.5594472932572315
100% Corpus,4,0.31,0.61,0.5512450386509771
100% Corpus,4,0.31,0.9099999999999999,0.5179603105733559
100% Corpus,4,0.31,symmetric,0.5794991846365818
100% Corpus,4,0.61,0.01,0.4845435074491907
100% Corpus,4,0.61,0.31,0.5734040098841988
100% Corpus,4,0.61,0.61,0.5668454580636371
100% Corpus,4,0.61,0.9099999999999999,0.5738450892868056
100% Corpus,4,0.61,symmetric,0.5796411261511389
100% Corpus,4,0.9099999999999999,0.01,0.5737116949081296
100% Corpus,4,0.9099999999999999,0.31,0.5933185992522598
100% Corpus,4,0.9099999999999999,0.61,0.5874412016538296
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.589813918077613
100% Corpus,4,0.9099999999999999,symmetric,0.5945604315165154
100% Corpus,4,symmetric,0.01,0.5296846662264056
100% Corpus,4,symmetric,0.31,0.5534493113380862
100% Corpus,4,symmetric,0.61,0.5037020092602493
100% Corpus,4,symmetric,0.9099999999999999,0.5035118296402019
100% Corpus,4,symmetric,symmetric,0.5576692829267069
100% Corpus,4,asymmetric,0.01,0.58906889925813
100% Corpus,4,asymmetric,0.31,0.550751849602192
100% Corpus,4,asymmetric,0.61,0.593217115915293
100% Corpus,4,asymmetric,0.9099999999999999,0.5218587034471405
100% Corpus,4,asymmetric,symmetric,0.5509297744610416
100% Corpus,5,0.01,0.01,0.46699728681015146
100% Corpus,5,0.01,0.31,0.5058137220841276
100% Corpus,5,0.01,0.61,0.5232625976592564
100% Corpus,5,0.01,0.9099999999999999,0.48656996490841076
100% Corpus,5,0.01,symmetric,0.5236029458454483
100% Corpus,5,0.31,0.01,0.5112300487570953
100% Corpus,5,0.31,0.31,0.582575361635673
100% Corpus,5,0.31,0.61,0.5757270550261742
100% Corpus,5,0.31,0.9099999999999999,0.5892825222339557
100% Corpus,5,0.31,symmetric,0.6004090763362586
100% Corpus,5,0.61,0.01,0.5361814654417716
100% Corpus,5,0.61,0.31,0.5569387166742702
100% Corpus,5,0.61,0.61,0.5438808001347039
100% Corpus,5,0.61,0.9099999999999999,0.5468992646601827
100% Corpus,5,0.61,symmetric,0.5583377992710236
100% Corpus,5,0.9099999999999999,0.01,0.524299555539298
100% Corpus,5,0.9099999999999999,0.31,0.5478028483924189
100% Corpus,5,0.9099999999999999,0.61,0.5456275905436296
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.534183987829621
100% Corpus,5,0.9099999999999999,symmetric,0.5493950759213595
100% Corpus,5,symmetric,0.01,0.5025529740491794
100% Corpus,5,symmetric,0.31,0.5771271602851159
100% Corpus,5,symmetric,0.61,0.5704392908344962
100% Corpus,5,symmetric,0.9099999999999999,0.5048284736299957
100% Corpus,5,symmetric,symmetric,0.5984233082159728
100% Corpus,5,asymmetric,0.01,0.5474187311881822
100% Corpus,5,asymmetric,0.31,0.5380803005555939
100% Corpus,5,asymmetric,0.61,0.487386699529318
100% Corpus,5,asymmetric,0.9099999999999999,0.45355471441620887
100% Corpus,5,asymmetric,symmetric,0.5805498747763226
100% Corpus,6,0.01,0.01,0.5158283552392836
100% Corpus,6,0.01,0.31,0.49120529397711876
100% Corpus,6,0.01,0.61,0.489205525883509
100% Corpus,6,0.01,0.9099999999999999,0.4631862140691457
100% Corpus,6,0.01,symmetric,0.5304656518015879
100% Corpus,6,0.31,0.01,0.5027481398655939
100% Corpus,6,0.31,0.31,0.5883419764871887
100% Corpus,6,0.31,0.61,0.5561648863138704
100% Corpus,6,0.31,0.9099999999999999,0.42735002479335443
100% Corpus,6,0.31,symmetric,0.5857363896168363
100% Corpus,6,0.61,0.01,0.5132905554012114
100% Corpus,6,0.61,0.31,0.5656881872525652
100% Corpus,6,0.61,0.61,0.5666029941227605
100% Corpus,6,0.61,0.9099999999999999,0.5637405857003164
100% Corpus,6,0.61,symmetric,0.5718019799786112
100% Corpus,6,0.9099999999999999,0.01,0.49942551758465054
100% Corpus,6,0.9099999999999999,0.31,0.5725106716466429
100% Corpus,6,0.9099999999999999,0.61,0.5594623986156521
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.5359205884211331
100% Corpus,6,0.9099999999999999,symmetric,0.562476954818913
100% Corpus,6,symmetric,0.01,0.5327054962905335
100% Corpus,6,symmetric,0.31,0.5722391340666074
100% Corpus,6,symmetric,0.61,0.5252819500408957
100% Corpus,6,symmetric,0.9099999999999999,0.4695598983188749
100% Corpus,6,symmetric,symmetric,0.5645814110888216
100% Corpus,6,asymmetric,0.01,0.4848944825723715
100% Corpus,6,asymmetric,0.31,0.524721647890927
100% Corpus,6,asymmetric,0.61,0.518032412979469
100% Corpus,6,asymmetric,0.9099999999999999,0.4713404734121797
100% Corpus,6,asymmetric,symmetric,0.533693789558396
100% Corpus,7,0.01,0.01,0.5041654032433824
100% Corpus,7,0.01,0.31,0.46644104986939666
100% Corpus,7,0.01,0.61,0.4418836539204486
100% Corpus,7,0.01,0.9099999999999999,0.5115261627127039
100% Corpus,7,0.01,symmetric,0.5151780848928335
100% Corpus,7,0.31,0.01,0.49019752348317397
100% Corpus,7,0.31,0.31,0.5373702596064691
100% Corpus,7,0.31,0.61,0.44202706831299104
100% Corpus,7,0.31,0.9099999999999999,0.4505914297113275
100% Corpus,7,0.31,symmetric,0.5510972751002251
100% Corpus,7,0.61,0.01,0.5185188352914897
100% Corpus,7,0.61,0.31,0.5596955760762229
100% Corpus,7,0.61,0.61,0.5611982250409817
100% Corpus,7,0.61,0.9099999999999999,0.5214002587086589
100% Corpus,7,0.61,symmetric,0.5564846280916588
100% Corpus,7,0.9099999999999999,0.01,0.5177719075139927
100% Corpus,7,0.9099999999999999,0.31,0.5603559120871412
100% Corpus,7,0.9099999999999999,0.61,0.5554236105681307
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.5550839960424916
100% Corpus,7,0.9099999999999999,symmetric,0.5376454688607673
100% Corpus,7,symmetric,0.01,0.4959371427548272
100% Corpus,7,symmetric,0.31,0.5216742218037435
100% Corpus,7,symmetric,0.61,0.44148915265619226
100% Corpus,7,symmetric,0.9099999999999999,0.4784848585378154
100% Corpus,7,symmetric,symmetric,0.5346333242157049
100% Corpus,7,asymmetric,0.01,0.47234403917085294
100% Corpus,7,asymmetric,0.31,0.45907531666609674
100% Corpus,7,asymmetric,0.61,0.5151763461515972
100% Corpus,7,asymmetric,0.9099999999999999,0.5148574648660643
100% Corpus,7,asymmetric,symmetric,0.5008478293052413
100% Corpus,8,0.01,0.01,0.5124931878316556
100% Corpus,8,0.01,0.31,0.418872268115394
100% Corpus,8,0.01,0.61,0.46681671795833013
100% Corpus,8,0.01,0.9099999999999999,0.499471854897092
100% Corpus,8,0.01,symmetric,0.543336853034575
100% Corpus,8,0.31,0.01,0.4937245492679882
100% Corpus,8,0.31,0.31,0.49716829315671907
100% Corpus,8,0.31,0.61,0.46828992175808515
100% Corpus,8,0.31,0.9099999999999999,0.41529927705174663
100% Corpus,8,0.31,symmetric,0.5304814737371217
100% Corpus,8,0.61,0.01,0.49182293651129944
100% Corpus,8,0.61,0.31,0.5211429124391955
100% Corpus,8,0.61,0.61,0.5282273451902367
100% Corpus,8,0.61,0.9099999999999999,0.5066750672152371
100% Corpus,8,0.61,symmetric,0.5213857854750898
100% Corpus,8,0.9099999999999999,0.01,0.4595797141570295
100% Corpus,8,0.9099999999999999,0.31,0.5276978839295113
100% Corpus,8,0.9099999999999999,0.61,0.5184580764530613
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.5275339967918585
100% Corpus,8,0.9099999999999999,symmetric,0.5203025081874251
100% Corpus,8,symmetric,0.01,0.48111758806211824
100% Corpus,8,symmetric,0.31,0.5019756618248127
100% Corpus,8,symmetric,0.61,0.42473495011344736
100% Corpus,8,symmetric,0.9099999999999999,0.4878366344546937
100% Corpus,8,symmetric,symmetric,0.5391430592619972
100% Corpus,8,asymmetric,0.01,0.48249530241316396
100% Corpus,8,asymmetric,0.31,0.4379576304907951
100% Corpus,8,asymmetric,0.61,0.5387272916724375
100% Corpus,8,asymmetric,0.9099999999999999,0.5597417882033877
100% Corpus,8,asymmetric,symmetric,0.5007458603300929
100% Corpus,9,0.01,0.01,0.46967718289577426
100% Corpus,9,0.01,0.31,0.47753891768427437
100% Corpus,9,0.01,0.61,0.4980124785411885
100% Corpus,9,0.01,0.9099999999999999,0.485676928662007
100% Corpus,9,0.01,symmetric,0.5119372514828026
100% Corpus,9,0.31,0.01,0.4770734510823813
100% Corpus,9,0.31,0.31,0.4937051113179196
